date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:21	846/846	---MC-	200	added ('OK')	text/xml	date:Tue,%2030%20Apr%202019%2015:48:20%20GMT	https://shenandoahliterary.org/xmlrpc.php?rsd	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/xmlrpc0db0.php	(from https://shenandoahliterary.org/)
11:48:21	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://shenandoahliterary.org/wp-includes/wlwmanifest.xml	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/wlwmanifest.xml	(from https://shenandoahliterary.org/)
11:48:21	113/113	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2030%20Apr%202019%2015:48:20%20GMT	https://shenandoahliterary.org/wp-json/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-json/index.html	(from https://shenandoahliterary.org/)
11:48:21	113/113	---MC-	401	error ('Unauthorized')	application/json	date:Tue,%2030%20Apr%202019%2015:48:21%20GMT	https://shenandoahliterary.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshenandoahliterary.org%2F	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-json/oembed/1.0/embedae37	(from https://shenandoahliterary.org/)
11:48:22	172/172	---MC-	401	error ('Unauthorized')	text/xml	date:Tue,%2030%20Apr%202019%2015:48:21%20GMT	https://shenandoahliterary.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshenandoahliterary.org%2F&format=xml	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-json/oembed/1.0/embed5f00	(from https://shenandoahliterary.org/)
11:48:22	3283/3283	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Jun%202015%2014:51:30%20GMT	https://shenandoahliterary.org/wp-includes/js/tw-sack.min.js?ver=1.6.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/js/tw-sack.min51a2.js	(from https://shenandoahliterary.org/)
11:48:22	265/265	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202019%2015:48:22%20GMT	http://shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.php	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.13.delayed	(from https://shenandoahliterary.org/)
11:48:22	314/314	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2015:48:22%20GMT	https://shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.php	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.html	(from https://shenandoahliterary.org/)
11:48:23	309/309	---M--	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202019%2015:48:22%20GMT	http://shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.php?quick_contact_action=get_captcha&count=	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact3605.php	(from https://shenandoahliterary.org/)
11:48:23	1806/1806	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2030%20Apr%202019%2015:48:23%20GMT	https://shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact.php?quick_contact_action=get_captcha&count=	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/plugins/quick-contact/quick-contact3605.jpg	(from https://shenandoahliterary.org/)
